nodes,workers,time,tasks
1,3,9.62691404670477,50
1,4,6.862444343045354,50
1,5,5.4827827997505665,50
1,6,4.730322884395719,50
1,7,4.110744275152683,50
1,8,3.732052283361554,50
1,9,3.381009165197611,50
1,10,3.251056367531419,50
1,11,3.0636019222438335,50
1,12,2.7918311282992363,50
1,13,2.8051247596740723,50
1,14,2.521101512014866,50
1,15,2.4746584836393595,50
1,16,2.4534085523337126,50
1,17,2.4340439196676016,50
1,18,2.249766316264868,50
1,19,2.2609604727476835,50
1,20,2.2864525578916073,50
1,21,2.1297197211533785,50
1,22,2.1195828337222338,50
1,23,2.1259985603392124,50
1,24,2.0495763644576073,50
1,25,2.0686475969851017,50
1,26,2.1405827924609184,50
1,27,1.9055761490017176,50
1,30,1.9803129434585571,50
1,31,1.9368214011192322,50
1,33,1.9951394461095333,50
1,3,9.504987997934222,100
1,4,6.737602213397622,100
1,5,5.31781817227602,100
1,6,4.5025731436908245,100
1,7,3.9679598547518253,100
1,8,3.6041254196316004,100
1,9,3.2634725216776133,100
1,10,3.042040003463626,100
1,11,2.8174780309200287,100
1,12,2.7698624581098557,100
1,14,2.463307222351432,100
1,15,2.4042125679552555,100
1,16,2.2723239175975323,100
1,17,2.227586332708597,100
1,19,2.1120725106447935,100
1,20,2.1136840134859085,100
1,21,2.037911592051387,100
1,22,2.026038482785225,100
1,23,1.9876910876482725,100
1,24,1.9849547874182463,100
1,25,1.9383570831269026,100
1,26,1.8360335379838943,100
1,27,1.875393869355321,100
1,29,1.8340401779860258,100
1,30,1.8410959001630545,100
1,31,1.8025321662425995,100
1,32,1.799406861886382,100
1,33,1.8065377715975046,100